ARPU,ARPU_missing,ARPU_imputed_median,ARPU_log1p,ARPU_zscore,ARPU_iqr_outlier,CHURN,churn_binary
13.78,0,13.78,2.6932749155200555,-0.4672278215339215,0,No,0
20.67,0,20.67,3.075928815548268,-0.16527260086383747,0,No,0
13.78,0,13.78,2.6932749155200555,-0.4672278215339215,0,No,0
10.33,0,10.33,2.427454075039915,-0.6184245575733684,0,No,0
13.83,0,13.83,2.696652156149841,-0.4650365644898715,0,No,0
20.75,0,20.75,3.079613757534693,-0.16176658959335763,0,No,0
20.84,0,20.84,3.083743150876704,-0.15782232691406772,0,No,0
41.67,0,41.67,3.7534960971999087,0.755055357637144,0,No,0
13.89,0,13.89,2.7006898466959175,-0.46240705603701154,0,No,0
10.46,0,10.46,2.4388627112865935,-0.6127272892588386,0,No,0
13.94,0,13.94,2.7040421797046714,-0.46021579899296167,0,No,0
20.92,0,20.92,3.087399462079815,-0.1543163156435877,0,No,0
20.92,0,20.92,3.087399462079815,-0.1543163156435877,0,No,0
14.0,0,14.0,2.70805020110221,-0.4575862905401017,0,No,0
10.5,0,10.5,2.4423470353692043,-0.6109742836235986,0,No,0
8.4,0,8.4,2.2407096892759584,-0.7030070794736967,0,Yes,1
8.4,0,8.4,2.2407096892759584,-0.7030070794736967,0,No,0
8.4,0,8.4,2.2407096892759584,-0.7030070794736967,0,No,0
8.4,0,8.4,2.2407096892759584,-0.7030070794736967,0,No,0
8.4,0,8.4,2.2407096892759584,-0.7030070794736967,0,No,0
14.06,0,14.06,2.7120422223717475,-0.4549567820872417,0,No,0
14.06,0,14.06,2.7120422223717475,-0.4549567820872417,0,Yes,1
8.43,0,8.43,2.2438960966453663,-0.7016923252472668,0,No,0
14.11,0,14.11,2.715356776284648,-0.4527655250431918,0,No,0
8.47,0,8.47,2.248128907197987,-0.6999393196120268,0,No,0
14.11,0,14.11,2.715356776284648,-0.4527655250431918,0,No,0
8.47,0,8.47,2.248128907197987,-0.6999393196120268,0,No,0
42.33,0,42.33,3.768845235751818,0.7839799506186033,0,No,0
14.11,0,14.11,2.715356776284648,-0.4527655250431918,0,No,0
10.58,0,10.58,2.449279472144849,-0.6074682723531186,0,No,0
21.17,0,21.17,3.09874002362822,-0.14336003042333792,0,No,0
10.63,0,10.63,2.453587966530573,-0.6052770153090686,0,No,0
21.25,0,21.25,3.1023420086122493,-0.13985401915285806,0,No,0
42.5,0,42.5,3.7727609380946383,0.7914302245683732,0,No,0
42.5,0,42.5,3.7727609380946383,0.7914302245683732,0,No,0
14.17,0,14.17,2.719319793360441,-0.4501360165903318,0,No,0
10.63,0,10.63,2.453587966530573,-0.6052770153090686,0,No,0
8.5,0,8.5,2.2512917986064953,-0.6986245653855968,0,No,0
14.17,0,14.17,2.719319793360441,-0.4501360165903318,0,No,0
14.22,0,14.22,2.7226103524335397,-0.4479447595462818,0,No,0
10.67,0,10.67,2.4570214462984645,-0.6035240096738288,0,No,0
14.22,0,14.22,2.7226103524335397,-0.4479447595462818,0,Yes,1
10.71,0,10.71,2.460443177609626,-0.6017710040385887,0,Yes,1
10.71,0,10.71,2.460443177609626,-0.6017710040385887,0,No,0
14.28,0,14.28,2.7265447837383743,-0.44531525109342196,0,No,0
14.28,0,14.28,2.7265447837383743,-0.44531525109342196,0,No,0
43.0,0,43.0,3.784189633918261,0.8133427950088727,0,No,0
21.5,0,21.5,3.1135153092103742,-0.12889773393260828,0,No,0
14.33,0,14.33,2.7298116928837226,-0.44312399404937197,0,No,0
43.0,0,43.0,3.784189633918261,0.8133427950088727,0,No,0
10.75,0,10.75,2.463853240590168,-0.6000179984033488,0,No,0
43.0,0,43.0,3.784189633918261,0.8133427950088727,0,No,0
10.79,0,10.79,2.4672517145492794,-0.5982649927681088,0,No,0
10.79,0,10.79,2.4672517145492794,-0.5982649927681088,0,No,0
7.2,0,7.2,2.1041341542702074,-0.7555972485308957,0,No,0
10.79,0,10.79,2.4672517145492794,-0.5982649927681088,0,No,0
21.67,0,21.67,3.1210424645194377,-0.12144745998283836,0,No,0
8.67,0,8.67,2.269028309465203,-0.691174291435827,0,No,0
10.83,0,10.83,2.4706386779902956,-0.5965119871328689,0,No,0
21.67,0,21.67,3.1210424645194377,-0.12144745998283836,0,No,0
14.44,0,14.44,2.73696154459663,-0.43830322855246207,0,No,0
8.7,0,8.7,2.272125885509337,-0.6898595372093971,0,No,0
8.7,0,8.7,2.272125885509337,-0.6898595372093971,0,Yes,1
14.5,0,14.5,2.740840023925201,-0.43567372009960215,0,No,0
14.5,0,14.5,2.740840023925201,-0.43567372009960215,0,Yes,1
10.92,0,10.92,2.4782176616372036,-0.592567724453579,0,No,0
10.92,0,10.92,2.4782176616372036,-0.592567724453579,0,No,0
14.56,0,14.56,2.7447035187502458,-0.43304421164674217,0,No,0
21.84,0,21.84,3.1285133847878095,-0.11399718603306859,0,No,0
43.67,0,43.67,3.7993021353640275,0.8427056393991422,0,No,0
10.92,0,10.92,2.4782176616372036,-0.592567724453579,0,No,0
14.61,0,14.61,2.7479117345273405,-0.43085295460269224,0,No,0
14.61,0,14.61,2.7479117345273405,-0.43085295460269224,0,No,0
43.83,0,43.83,3.802877558167348,0.849717661940102,0,No,0
8.8,0,8.8,2.2823823856765264,-0.6854770231212971,0,No,0
14.67,0,14.67,2.7517480563679295,-0.42822344614983227,0,No,0
11.04,0,11.04,2.488234439880675,-0.5873087075478591,0,No,0
14.72,0,14.72,2.7549337870010606,-0.4260321891057823,0,No,0
22.09,0,22.09,3.139399623366404,-0.10304090081281882,0,No,0
25.5,0,25.5,3.2771447329921766,0.046402829591388195,0,No,0
22.09,0,22.09,3.139399623366404,-0.10304090081281882,0,No,0
14.78,0,14.78,2.7587433154177283,-0.4234026806529224,0,No,0
22.17,0,22.17,3.142858338444285,-0.0995348895423388,0,No,0
22.17,0,22.17,3.142858338444285,-0.0995348895423388,0,No,0
11.08,0,11.08,2.4915511925066687,-0.5855557019126191,0,No,0
44.33,0,44.33,3.813969064952758,0.8716302323806016,0,No,0
44.33,0,44.33,3.813969064952758,0.8716302323806016,0,No,0
14.83,0,14.83,2.761906873892921,-0.4212114236088724,0,No,0
