variant,model,train_data,selected_threshold,validation_f1,validation_recall,validation_precision,validation_pr_auc,validation_mcc,test_oracle_threshold,test_oracle_f1,test_oracle_recall,test_oracle_precision,test_f1,test_recall,test_precision,test_accuracy,test_balanced_accuracy,test_roc_auc,test_pr_auc,test_average_precision,test_mcc,test_tp,test_fp,test_fn,test_tn,error
without_billing_zip,LogisticRegression_balanced_C1.0,original,0.47,0.15019011406844107,0.7247706422018348,0.08377518557794274,0.10051769686255836,0.08775894278676427,0.57,0.13973799126637554,0.29357798165137616,0.09169054441260745,0.12730627306273062,0.6330275229357798,0.07076923076923076,0.4395734597156398,0.5296233244824561,0.5558912562241809,0.07897202629561506,0.07897202629561506,0.029479562404390782,69.0,906.0,40.0,673.0,
without_billing_zip,RandomForest_balanced_depth5,original,0.49,0.15446071904127828,0.5321100917431193,0.09034267912772585,0.08554976400961894,0.08203768454113448,0.47,0.1327334083239595,0.5412844036697247,0.07564102564102564,0.1267427122940431,0.45871559633027525,0.07352941176470588,0.591824644549763,0.5298644479434784,0.5326940172330648,0.07698665448878475,0.07698665448878475,0.02992981816034532,50.0,630.0,59.0,949.0,
without_billing_zip,CatBoost_native_depth3_lr0.03,native_categorical,0.57,0.15568862275449102,0.23853211009174313,0.11555555555555555,0.09414675095834524,0.08129379602270238,0.47,0.1317027281279398,0.6422018348623854,0.07337526205450734,0.12568306010928962,0.21100917431192662,0.08949416342412451,0.8104265402843602,0.5314070570736327,0.5458918953466078,0.08103277609120978,0.08103277609120978,0.042970971735417175,23.0,234.0,86.0,1345.0,
with_billing_zip,RandomForest_balanced_depth5,original,0.53,0.1580135440180587,0.3211009174311927,0.10479041916167664,0.08697318665830144,0.08120230539439734,0.49,0.13298565840938723,0.46788990825688076,0.07750759878419453,0.12427184466019417,0.29357798165137616,0.07881773399014778,0.7328199052132701,0.5283596051385443,0.5364357885318196,0.07693731206256904,0.07693731206256904,0.032615756787592834,32.0,374.0,77.0,1205.0,
without_billing_zip,BalancedBagging_tree_depth3_leaf10,original,0.55,0.1717557251908397,0.41284403669724773,0.10843373493975904,0.10062144024852343,0.10181716558511318,0.47,0.14068441064638784,0.6788990825688074,0.0784729586426299,0.12264150943396226,0.3577981651376147,0.07400379506641366,0.669431279620853,0.5243709001748872,0.5447995770171575,0.07991331323343248,0.07991331323343248,0.025851423534379407,39.0,488.0,70.0,1091.0,
without_billing_zip,ExtraTrees_balanced_depth5,original,0.55,0.16292134831460675,0.26605504587155965,0.11740890688259109,0.10323001322169395,0.0889459564955567,0.45,0.132996632996633,0.7247706422018348,0.0732159406858202,0.1223529411764706,0.23853211009174313,0.08227848101265822,0.7790284360189573,0.5274357827216157,0.5505545839603512,0.07480388368507629,0.07480388368507629,0.03457252246010452,26.0,290.0,83.0,1289.0,
with_billing_zip,BalancedBagging_tree_depth3_leaf25,original,0.55,0.1522633744855967,0.3394495412844037,0.09814323607427056,0.09770203132024526,0.07317055236426154,0.49,0.14211076280041798,0.6238532110091743,0.08018867924528301,0.12140575079872204,0.3486238532110092,0.0735009671179884,0.6741706161137441,0.522633649214751,0.55901714591165,0.08227201533948839,0.08227201533948839,0.024135993004441338,38.0,479.0,71.0,1100.0,
with_billing_zip,HistGradientBoosting_balanced_lr0.03,original,0.19,0.12491128459900638,0.8073394495412844,0.06769230769230769,0.07331230060928642,0.02296654856091315,0.61,0.13333333333333333,0.13761467889908258,0.12931034482758622,0.12109623964308477,0.8715596330275229,0.06506849315068493,0.18305687203791468,0.503544224366833,0.5330106733445277,0.08223874955542691,0.08223874955542691,0.005096965163554931,95.0,1365.0,14.0,214.0,
without_billing_zip,RidgeClassifier_balanced_alpha0.3,original,0.19,0.15873015873015872,0.22935779816513763,0.12135922330097088,0.09775309156609266,0.08608967042884143,0.07,0.12951807228915663,0.3944954128440367,0.07747747747747748,0.12,0.1651376146788991,0.09424083769633508,0.8436018957345972,0.527787300056359,0.5493141054319597,0.07669710498686574,0.07669710498686574,0.04311745081147841,18.0,173.0,91.0,1406.0,
without_billing_zip,CatBoost_encoded_depth3_lr0.03,original,0.57,0.1524390243902439,0.22935779816513763,0.1141552511415525,0.0911946414690433,0.07783844897335165,0.39,0.1318840579710145,0.8348623853211009,0.07159716758457907,0.11989100817438691,0.2018348623853211,0.08527131782945736,0.808649289099526,0.526186588887404,0.5498283084753444,0.08163000033603571,0.08163000033603571,0.03577135308420441,22.0,236.0,87.0,1343.0,
