case_label,variant,model,scenario,fn_cost,fp_cost,retention_rate,threshold,expected_net_value,tp,fp,fn,tn,recall,precision,f1
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.68,8730.0,3,33,106,1546,0.027522935779816515,0.08333333333333333,0.041379310344827586
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.69,5550.0,2,31,107,1548,0.01834862385321101,0.06060606060606061,0.028169014084507043
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.7,5610.0,2,29,107,1550,0.01834862385321101,0.06451612903225806,0.02857142857142857
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.71,5790.0,2,23,107,1556,0.01834862385321101,0.08,0.029850746268656716
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.72,5850.0,2,21,107,1558,0.01834862385321101,0.08695652173913043,0.030303030303030304
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.73,5910.0,2,19,107,1560,0.01834862385321101,0.09523809523809523,0.03076923076923077
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.74,5970.0,2,17,107,1562,0.01834862385321101,0.10526315789473684,0.03125
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.75,2790.0,1,15,108,1564,0.009174311926605505,0.0625,0.016
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.76,2850.0,1,13,108,1566,0.009174311926605505,0.07142857142857142,0.016260162601626018
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.77,-390.0,0,13,109,1566,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.78,-360.0,0,12,109,1567,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.79,-300.0,0,10,109,1569,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.8,-270.0,0,9,109,1570,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.81,-180.0,0,6,109,1573,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.82,-120.0,0,4,109,1575,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.83,-120.0,0,4,109,1575,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.84,-120.0,0,4,109,1575,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.85,-120.0,0,4,109,1575,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.86,-120.0,0,4,109,1575,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.87,-120.0,0,4,109,1575,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.88,-90.0,0,3,109,1576,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.89,-90.0,0,3,109,1576,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.9,-60.0,0,2,109,1577,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.91,-30.0,0,1,109,1578,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.92,-30.0,0,1,109,1578,0.0,0.0,0.0
