group_level,billing_zip_group,rows,train_rows,test_rows,churn_count,non_churn_count,churn_rate,churn_rate_percent,support_flag
zip_value,6673,1,1,0,1,0,1.0,100.0,small_support
zip_value,6845,1,1,0,1,0,1.0,100.0,small_support
zip_value,7800,1,0,1,1,0,1.0,100.0,small_support
zip_value,8643,1,1,0,1,0,1.0,100.0,small_support
zip_value,8800,1,1,0,1,0,1.0,100.0,small_support
zip_value,1164,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1202,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1233,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1303,1,0,1,0,1,0.0,0.0,no_positive
zip_value,1309,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1330,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1335,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1345,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1407,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1504,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1528,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1680,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1700,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1712,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1715,1,1,0,0,1,0.0,0.0,no_positive
zip_value,1839,1,1,0,0,1,0.0,0.0,no_positive
zip_value,2080,1,1,0,0,1,0.0,0.0,no_positive
zip_value,2100,1,1,0,0,1,0.0,0.0,no_positive
zip_value,2240,1,0,1,0,1,0.0,0.0,no_positive
zip_value,2442,1,1,0,0,1,0.0,0.0,no_positive
zip_value,2500,1,1,0,0,1,0.0,0.0,no_positive
zip_value,2875,1,1,0,0,1,0.0,0.0,no_positive
zip_value,3241,1,1,0,0,1,0.0,0.0,no_positive
zip_value,3500,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4007,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4024,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4026,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4028,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4133,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4136,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4141,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4161,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4174,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4175,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4179,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4187,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4191,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4192,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4193,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4207,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4208,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4213,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4219,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4222,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4227,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4239,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4240,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4243,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4249,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4254,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4264,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4269,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4281,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4282,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4283,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4295,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4297,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4301,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4302,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4339,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4341,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4343,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4348,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4350,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4357,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4358,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4368,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4404,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4408,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4410,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4411,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4414,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4415,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4418,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4420,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4421,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4428,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4441,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4444,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4451,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4452,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4463,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4468,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4477,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4481,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4491,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4493,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4535,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4583,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4584,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4587,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4590,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4642,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4645,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4743,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4752,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4794,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4801,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4834,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4836,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4877,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4889,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4890,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4935,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4942,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4948,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4958,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4970,1,0,1,0,1,0.0,0.0,no_positive
zip_value,4974,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4976,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4983,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4994,1,1,0,0,1,0.0,0.0,no_positive
zip_value,4999,1,1,0,0,1,0.0,0.0,no_positive
zip_value,5000,1,1,0,0,1,0.0,0.0,no_positive
zip_value,5140,1,1,0,0,1,0.0,0.0,no_positive
zip_value,5400,1,1,0,0,1,0.0,0.0,no_positive
zip_value,5780,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6045,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6049,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6052,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6056,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6057,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6059,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6061,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6064,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6091,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6102,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6103,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6141,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6145,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6148,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6149,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6150,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6152,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6153,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6171,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6172,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6215,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6218,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6238,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6258,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6266,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6269,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6270,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6272,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6275,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6279,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6285,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6292,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6310,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6372,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6380,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6430,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6432,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6440,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6442,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6460,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6465,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6480,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6530,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6568,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6607,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6631,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6641,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6826,1,0,1,0,1,0.0,0.0,no_positive
zip_value,6830,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6858,1,1,0,0,1,0.0,0.0,no_positive
zip_value,6860,1,0,1,0,1,0.0,0.0,no_positive
