variant,model,train_data,threshold,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,average_precision,mcc,tp,fp,fn,tn
with_billing_zip,LogisticRegression_SMOTE,resampled,0.42,0.14492753623188406,0.3669724770642202,0.09029345372460497,0.7202133965619443,0.5557929558958616,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.062339607219290674,40,403,69,1175
with_billing_zip,LogisticRegression_SMOTE,resampled,0.31,0.14056224899598393,0.6422018348623854,0.07891770011273957,0.49259039715471253,0.5622289275706096,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.061274850065708736,70,817,39,761
with_billing_zip,LogisticRegression_SMOTE,resampled,0.35,0.1393643031784841,0.5229357798165137,0.08039492242595205,0.5826911677534085,0.5548772688689666,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.05466340598526062,57,652,52,926
with_billing_zip,LogisticRegression_SMOTE,resampled,0.32,0.13924050632911392,0.6055045871559633,0.07866507747318235,0.5163011262596325,0.5578220020697434,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.05686053772286072,66,773,43,805
with_billing_zip,LogisticRegression_SMOTE,resampled,0.41,0.13921901528013583,0.3761467889908257,0.08541666666666667,0.6994665085951393,0.5489732677527006,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.0533680793926393,41,439,68,1139
with_billing_zip,LogisticRegression_SMOTE,resampled,0.34,0.1388888888888889,0.5504587155963303,0.07947019867549669,0.5589804386484885,0.5550138951872653,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.05439859811053952,60,695,49,883
with_billing_zip,LogisticRegression_SMOTE,resampled,0.3,0.13806327900287632,0.6605504587155964,0.07708779443254818,0.46710136336692354,0.5571446843641353,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.05651993531066647,72,862,37,716
with_billing_zip,LogisticRegression_SMOTE,resampled,0.33,0.1377049180327869,0.5779816513761468,0.07816377171215881,0.5323058684054535,0.5535662376018884,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.05272692111852602,63,743,46,835
with_billing_zip,LogisticRegression_SMOTE,resampled,0.4,0.13680781758957655,0.3853211009174312,0.08316831683168317,0.6858328393598103,0.5459558609783608,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.04933819120600666,42,463,67,1115
with_billing_zip,LogisticRegression_SMOTE,resampled,0.37,0.1364256480218281,0.45871559633027525,0.08012820512820513,0.6247777119146414,0.5474820060231858,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.04835783796851209,50,574,59,1004
