variant,family,model_name,train_kind,threshold,f1,f2,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn,predicted_positive_rate
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.51,0.14358974358974358,0.2529358626919603,0.5137614678899083,0.08345752608047691,0.6040308239478364,0.562013813792863,0.5841240218136998,0.10114705953618708,0.06229842553491078,56,615,53,963,0.3977474807350326
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.52,0.1402002861230329,0.2387914230019493,0.44954128440366975,0.08305084745762711,0.6437462951985774,0.5533511238241416,0.5841240218136998,0.10114705953618708,0.05500611805642682,49,541,60,1037,0.34973325429756963
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.53,0.13504823151125403,0.22128556375131717,0.3853211009174312,0.08187134502923976,0.6810906935388263,0.5434210067324798,0.5841240218136998,0.10114705953618708,0.04640918070562621,42,471,67,1107,0.30409010077059867
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.54,0.14338235294117646,0.22388059701492538,0.3577981651376147,0.0896551724137931,0.7237700059276823,0.5534237973977046,0.5841240218136998,0.10114705953618708,0.060046086268217405,39,396,70,1182,0.25785417901600477
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.55,0.14107883817427386,0.21013597033374537,0.3119266055045872,0.09115281501340483,0.7545939537640782,0.5485488540830921,0.5841240218136998,0.10114705953618708,0.05752062934467761,34,339,75,1239,0.22110254890337877
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.56,0.12962962962962962,0.1844532279314888,0.25688073394495414,0.08668730650154799,0.7771191464137522,0.5349676166556203,0.5841240218136998,0.10114705953618708,0.04369727251658928,28,295,81,1283,0.19146413752222882
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.57,0.1377551020408163,0.18776077885952713,0.24770642201834864,0.09540636042402827,0.7996443390634262,0.5427378751409867,0.5841240218136998,0.10114705953618708,0.05623839248590973,27,256,82,1322,0.16775340841730882
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.58,0.14814814814814814,0.19174041297935104,0.23853211009174313,0.10743801652892562,0.8227622999407231,0.5508249904070883,0.5841240218136998,0.10114705953618708,0.07129062840035962,26,216,83,1362,0.14344991108476585
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.59,0.1523809523809524,0.18691588785046728,0.22018348623853212,0.11650485436893204,0.8417308832246592,0.5524238090254765,0.5841240218136998,0.10114705953618708,0.07872527338946941,24,182,85,1396,0.12211025489033787
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.6,0.14383561643835616,0.16962843295638125,0.1926605504587156,0.11475409836065574,0.8518079430942501,0.5449994767502704,0.5841240218136998,0.10114705953618708,0.07114669737169786,21,162,88,1416,0.1084765856550089
