column_ko,column_description,group,rows,yes_count,no_count,yes_rate,no_rate,yes_rate_percent,no_rate_percent,path
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6003,8,1,7,0.125,0.875,12.5,87.5,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6003_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4017,17,2,15,0.11764705882352941,0.8823529411764706,11.76470588235294,88.23529411764706,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4017_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4110,17,2,15,0.11764705882352941,0.8823529411764706,11.76470588235294,88.23529411764706,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4110_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4015,18,2,16,0.1111111111111111,0.8888888888888888,11.11111111111111,88.88888888888889,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4015_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4030,9,1,8,0.1111111111111111,0.8888888888888888,11.11111111111111,88.88888888888889,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4030_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6570,9,1,8,0.1111111111111111,0.8888888888888888,11.11111111111111,88.88888888888889,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6570_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4006,57,6,51,0.10526315789473684,0.8947368421052632,10.526315789473683,89.47368421052632,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4006_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4199,19,2,17,0.10526315789473684,0.8947368421052632,10.526315789473683,89.47368421052632,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4199_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4013,10,1,9,0.1,0.9,10.0,90.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4013_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4124,10,1,9,0.1,0.9,10.0,90.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4124_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4218,10,1,9,0.1,0.9,10.0,90.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4218_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4409,10,1,9,0.1,0.9,10.0,90.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4409_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4230,244,24,220,0.09836065573770492,0.9016393442622951,9.836065573770492,90.1639344262295,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4230_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4600,115,11,104,0.09565217391304348,0.9043478260869565,9.565217391304348,90.43478260869566,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4600_churn.csv
